Title,Genre(s),Director(s),Rating
Captain Fantastic,"Adventure, Drama",Matt Ross,79
Mulan,"Animation, Family, Adventure","Barry Cook, Tony Bancroft",79
Young Frankenstein,Comedy,Mel Brooks,79
Persepolis,"Animation, Drama","Marjane Satrapi, Vincent Paronnaud",79
The Greatest Showman,Drama,Michael Gracey,79
Close to the Horizon,"Drama, Romance",Tim Trachte,79
Vincent,"Animation, Fantasy",Tim Burton,79
Mamma Roma,Drama,Pier Paolo Pasolini,79
La Jetée,"Romance, Science Fiction",Chris Marker,79
Raya and the Last Dragon,"Animation, Family, Fantasy, Action, Adventure","Carlos López Estrada, Don Hall",79
About Time,"Drama, Romance, Fantasy",Richard Curtis,79
Ne Zha,"Animation, Fantasy, Adventure",Yang Yu,79
The Battle of Algiers,"Drama, War, History",Gillo Pontecorvo,79
In the Name of the Father,Drama,Jim Sheridan,79
Amarcord,"Comedy, Drama",Federico Fellini,79
The Pursuit of Happyness,Drama,Gabriele Muccino,79
Guardians of the Galaxy,"Action, Science Fiction, Adventure",James Gunn,79
To Be or Not to Be,"Comedy, War",Ernst Lubitsch,79
Amélie,"Comedy, Romance",Jean-Pierre Jeunet,79
Little Women,"Drama, Romance, History",Greta Gerwig,79
Ace in the Hole,Drama,Billy Wilder,79
The Breadwinner,"Animation, War, Drama",Nora Twomey,79
Regular Show: The Movie,"Animation, Comedy, Science Fiction, TV Movie",J.G. Quintel,79
V for Vendetta,"Action, Thriller, Science Fiction",James McTeigue,79
A Separation,Drama,Asghar Farhadi,79
Heat,"Action, Crime, Drama, Thriller",Michael Mann,79
Seaspiracy,Documentary,Ali Tabrizi,79
My Way,"Drama, Action, History, War",Kang Je-kyu,79
Ivan's Childhood,"Drama, War",Andrei Tarkovsky,79
Mr. Smith Goes to Washington,"Comedy, Drama",Frank Capra,79
Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,"Animation, Comedy, Mystery, Family, Fantasy",Cecilia Aranovich,79
Luck,"Animation, Adventure, Comedy, Fantasy",Peggy Holmes,79
Jodorowsky's Dune,Documentary,Frank Pavich,79
Yi Yi,Drama,Edward Yang,79
1900,"Drama, History",Bernardo Bertolucci,79
Titanic,"Drama, Romance",James Cameron,79
Gone Girl,"Mystery, Thriller, Drama",David Fincher,79
La La Land,"Comedy, Drama, Romance, Music",Damien Chazelle,79
An Egg Rescue,"Animation, Comedy, Adventure, Family","Rodolfo Riva Palacio Alatriste, Gabriel Riva Palacio Alatriste",79
The Internet's Own Boy: The Story of Aaron Swartz,"Documentary, Crime",Brian Knappenberger,79
Sing Street,"Comedy, Romance, Drama, Music",John Carney,79
Farewell My Concubine,Drama,Chen Kaige,79
Return of the Jedi,"Adventure, Action, Science Fiction",Richard Marquand,79
Roman Holiday,"Romance, Comedy, Drama",William Wyler,79
Dragon Ball Super: Broly,"Action, Science Fiction, Animation",Tatsuya Nagamine,79
Teen Titans Go! vs. Teen Titans,"Action, Animation",Jeff Mednikow,79
We Are the Nobles,Comedy,Gary Alazraki,79
Ordet,Drama,Carl Theodor Dreyer,79
Diabolique,"Drama, Horror, Thriller",Henri-Georges Clouzot,79
Man with a Movie Camera,Documentary,Dziga Vertov,79
Two Women,"Drama, War",Vittorio De Sica,79
Nostalgia,"Drama, Romance",Andrei Tarkovsky,79
Tokyo Godfathers,"Animation, Drama, Comedy",Satoshi Kon,79
The Notebook,"Romance, Drama",Nick Cassavetes,79
A Man Called Otto,"Comedy, Drama",Marc Forster,79
A Street Cat Named Bob,"Family, Drama",Roger Spottiswoode,79
Winter Light,Drama,Ingmar Bergman,79
The Night of the Hunter,"Crime, Drama, Thriller",Charles Laughton,79
Kill Bill: Vol. 2,"Action, Crime, Thriller",Quentin Tarantino,79
Dancer in the Dark,"Drama, Crime",Lars von Trier,79
John Wick: Chapter 4,"Action, Thriller, Crime",Chad Stahelski,79
The Specials,"Comedy, Drama","Éric Toledano, Olivier Nakache",79
Luca,"Animation, Comedy, Fantasy, Adventure, Family",Enrico Casarosa,79
It Happened One Night,"Comedy, Romance",Frank Capra,79
Suzume,"Animation, Drama, Adventure, Fantasy",Makoto Shinkai,79
Sherlock: The Abominable Bride,"Crime, Drama, Mystery, TV Movie",Douglas Mackinnon,79
Sunrise: A Song of Two Humans,"Drama, Romance",F. W. Murnau,79
Fargo,"Crime, Drama, Thriller",Joel Coen,79
See You Up There,"Drama, Crime, War",Albert Dupontel,79
La luna,"Animation, Family",Enrico Casarosa,79
Paper Moon,"Comedy, Crime, Drama",Peter Bogdanovich,79
Rififi,"Drama, Action, Crime",Jules Dassin,79
Miraculous World: Shanghai – The Legend of Ladydragon,"Animation, Fantasy, Action, TV Movie",Thomas Astruc,79
Blackfish,Documentary,Gabriela Cowperthwaite,79
Umberto D.,Drama,Vittorio De Sica,79
Belle,"Animation, Science Fiction, Family",Mamoru Hosoda,79
El Infierno,"Drama, Crime, Comedy",Luis Estrada,79
Safety Last!,"Comedy, Romance, Thriller","Sam Taylor, Fred C. Newmeyer",79
Isle of Dogs,"Adventure, Comedy, Animation",Wes Anderson,79
Perfect Strangers,"Comedy, Drama",Paolo Genovese,79
Stand by Me,"Crime, Drama",Rob Reiner,79
Shoplifters,"Drama, Crime, Thriller",Hirokazu Kore-eda,79
The Theory of Everything,"Drama, Romance",James Marsh,79
Her,"Romance, Science Fiction, Drama",Spike Jonze,79
Apollo 11,"Documentary, History",Todd Douglas Miller,79
Mary and Max,"Animation, Comedy, Drama",Adam Elliot,79
Rio Bravo,Western,Howard Hawks,79
Le Samouraï,"Crime, Thriller",Jean-Pierre Melville,79
Day for Night,"Comedy, Drama",François Truffaut,79
No Game No Life: Zero,"Animation, Action, Drama",Atsuko Ishizuka,79
Wild Tales,"Drama, Thriller, Comedy",Damián Szifron,79
Ben-Hur,"Action, Drama, History",William Wyler,79
A Fistful of Dollars,Western,Sergio Leone,79
A Beautiful Mind,"Drama, Romance",Ron Howard,79
Searching for Sugar Man,"Music, Documentary",Malik Bendjelloul,79
Interstella 5555,"Animation, Science Fiction, Music, Adventure",Kazuhisa Takenouchi,79
Knives Out,"Comedy, Crime, Mystery",Rian Johnson,79
A Bag of Marbles,"War, Drama",Christian Duguay,79
Mulholland Dr.,"Thriller, TV Movie, Drama, Mystery",David Lynch,79
Kiki's Delivery Service,"Animation, Family, Fantasy, Adventure",Hayao Miyazaki,79
Departures,Drama,Yojiro Takita,79
Joint Security Area,"War, Drama, Thriller, Action",Park Chan-wook,79
Solaris,"Drama, Science Fiction, Mystery",Andrei Tarkovsky,79
Dances with Wolves,"Adventure, Drama, Western",Kevin Costner,79
Whiplash,"Drama, Music",Damien Chazelle,78
Z,"Thriller, History, Drama",Costa-Gavras,78
Grand Illusion,"Drama, History, War",Jean Renoir,79
Anatomy of a Murder,"Crime, Drama, Mystery",Otto Preminger,78
The Boy in the Striped Pyjamas,"War, Drama, History",Mark Herman,78
Downfall,"Drama, History, War",Oliver Hirschbiegel,78
The Marquis of Grillo,Comedy,Mario Monicelli,78
Papillon,"Crime, Drama",Franklin J. Schaffner,78
Girl in the Basement,"Crime, Thriller, TV Movie",Elisabeth Röhm,78
"Spring, Summer, Fall, Winter... and Spring",Drama,Kim Ki-duk,78
Network,Drama,Sidney Lumet,78
Feast,"Animation, Comedy, Drama, Family",Patrick Osborne,78
The Best Offer,"Drama, Romance, Crime",Giuseppe Tornatore,78
Evangelion: 2.0 You Can (Not) Advance,"Animation, Science Fiction, Action, Drama",Hideaki Anno,78
The Big Lebowski,"Comedy, Crime","Joel Coen, Ethan Coen",78
Indiana Jones and the Last Crusade,"Adventure, Action",Steven Spielberg,78
Coraline,"Animation, Family, Fantasy",Henry Selick,78
The Nightmare Before Christmas,"Fantasy, Animation, Family",Henry Selick,78
RRR,"Action, Drama",S. S. Rajamouli,78
Don't Be Bad,"Crime, Drama",Claudio Caligari,78
"Love, Rosie","Comedy, Romance, Drama",Christian Ditter,78
Warrior,"Drama, Action",Gavin O'Connor,78
A Bronx Tale,"Drama, Crime",Robert De Niro,78
We Bare Bears: The Movie,"Animation, Adventure, Family, Comedy, TV Movie",Daniel Chong,78
Everything Everywhere All at Once,"Action, Adventure, Science Fiction","Daniel Scheinert, Daniel Kwan",78
Millennium Actress,"Animation, Drama, Romance",Satoshi Kon,78
Dog Day Afternoon,"Crime, Drama, Thriller",Sidney Lumet,78
The Grapes of Wrath,Drama,John Ford,78
My Policeman,"Drama, Romance",Michael Grandage,78
Polisse,"Drama, Thriller",Maïwenn,78
Mr. Nobody,"Science Fiction, Drama, Romance, Fantasy",Jaco Van Dormael,78
Monsieur Verdoux,"Comedy, Crime, Drama",Charlie Chaplin,78
The Best Years of Our Lives,"Drama, Romance, War",William Wyler,78
Mulholland Drive,"Thriller, Drama, Mystery",David Lynch,78
"Monsters, Inc.","Animation, Comedy, Family",Pete Docter,78
Carlito's Way,"Crime, Thriller, Drama, Romance",Brian De Palma,78
The Working Class Goes to Heaven,Drama,Elio Petri,78
Gifted Hands: The Ben Carson Story,Drama,Thomas Carter,78
The Bridge on the River Kwai,"Drama, History, War",David Lean,78
The Witch: Part 1. The Subversion,"Mystery, Science Fiction, Action, Adventure",Park Hoon-jung,78
Freaks,"Drama, Horror",Tod Browning,78
Rosemary's Baby,"Drama, Horror, Thriller",Roman Polanski,78
Before Sunset,"Drama, Romance",Richard Linklater,78
Finding Nemo,"Animation, Family",Andrew Stanton,78
Elite Squad: The Enemy Within,"Drama, Action, Crime",José Padilha,78
L'Eclisse,"Romance, Drama",Michelangelo Antonioni,78
Partly Cloudy,"Animation, Family, Comedy",Peter Sohn,78
Harry Potter and the Goblet of Fire,"Adventure, Fantasy, Family",Mike Newell,78
Fail Safe,"Drama, Thriller, War",Sidney Lumet,78
Through a Glass Darkly,Drama,Ingmar Bergman,78
Into the Wild,"Adventure, Drama",Sean Penn,78
Extraction 2,"Action, Thriller",Sam Hargrave,78
Land of Mine,"War, Drama, History",Martin Zandvliet,78
War Room,"Drama, Romance",Alex Kendrick,78
Logan,"Action, Drama, Science Fiction",James Mangold,78
The Heist of the Century,"Comedy, Thriller, Crime",Ariel Winograd,78
Kagemusha,"Action, Drama, History, War",Akira Kurosawa,78
Infernal Affairs,"Drama, Action, Thriller, Crime, Mystery","Alan Mak, Andrew Lau",78
The Virgin Spring,Drama,Ingmar Bergman,78
Spotlight,"Drama, History",Tom McCarthy,78
Tetris,"Thriller, History, Drama",Jon S. Baird,78
The Normal Heart,Drama,Ryan Murphy,78
Hustle,"Drama, Comedy",Jeremiah Zagar,78
White Collar Blues,Comedy,Luciano Salce,78
How to Train Your Dragon,"Fantasy, Adventure, Animation, Family","Chris Sanders, Dean DeBlois",78
The Shadow in My Eye,"War, Drama, History",Ole Bornedal,78
My Life as a Zucchini,"Animation, Comedy, Drama, Family, Romance",Claude Barras,78
The Man Who Shot Liberty Valance,Western,John Ford,78
Back to the Outback,"Animation, Family, Adventure, Comedy","Harry Cripps, Claire Knight",78
Home,Documentary,Yann Arthus-Bertrand,78
Fanny and Alexander,"Fantasy, Drama, Mystery",Ingmar Bergman,78
Brokeback Mountain,"Drama, Romance",Ang Lee,78
3-Iron,"Drama, Romance, Crime",Kim Ki-duk,78
The King of Comedy,"Drama, Comedy",Martin Scorsese,78
Snatch,"Crime, Comedy",Guy Ritchie,78
Mortal Kombat Legends: Battle of the Realms,"Animation, Action, Fantasy",Ethan Spaulding,78
Bajrangi Bhaijaan,"Action, Comedy, Drama",Kabir Khan,78
I Saw the Devil,"Thriller, Horror",Kim Jee-woon,78
Crooks in Clover,"Action, Comedy, Crime",Georges Lautner,78
Ratatouille,"Animation, Comedy, Family, Fantasy",Brad Bird,78
Midnight Sun,"Romance, Drama",Scott Speer,78
Paprika,"Animation, Mystery, Science Fiction, Thriller",Satoshi Kon,78
Monty Python and the Holy Grail,"Adventure, Comedy, Fantasy","Terry Jones, Terry Gilliam",78
Close,Drama,Lukas Dhont,78
The Super Mario Bros. Movie,"Animation, Family, Adventure, Fantasy, Comedy","Aaron Horvath, Michael Jelenic",78
Dune,"Science Fiction, Adventure",Denis Villeneuve,78
A Woman Under the Influence,Drama,John Cassavetes,78
Jiro Dreams of Sushi,Documentary,David Gelb,78
Presto,"Animation, Family",Doug Sweetland,78
Hiroshima Mon Amour,"Drama, History, Romance",Alain Resnais,78
Ernest & Celestine,"Animation, Comedy, Drama, Family, Adventure","Vincent Patar, Benjamin Renner, Stéphane Aubier",78
Shelter,"Drama, Romance",Jonah Markowitz,78
Never Look Away,"Drama, Thriller, Romance",Florian Henckel von Donnersmarck,78
A Short Film About Love,"Drama, Romance",Krzysztof Kieślowski,78
Tod@s Caen,Comedy,Ariel Winograd,78
One Hundred Steps,"Drama, History",Marco Tullio Giordana,78
Toy Story 3,"Animation, Family, Comedy",Lee Unkrich,78
Lisbela and the Prisoner,"Comedy, Romance",Guel Arraes,78
Rocky,"Drama, Romance",John G. Avildsen,78
Dogville,"Crime, Drama, Thriller",Lars von Trier,78
Pirates of the Caribbean: The Curse of the Black Pearl,"Adventure, Fantasy, Action",Gore Verbinski,78
Porco Rosso,"Family, Comedy, Animation, Adventure",Hayao Miyazaki,78
The Girl Who Leapt Through Time,"Fantasy, Animation, Drama, Science Fiction",Mamoru Hosoda,78
Vivre Sa Vie,Drama,Jean-Luc Godard,78
The Eight Mountains,Drama,"Charlotte Vandermeersch, Felix van Groeningen",78
L.A. Confidential,"Crime, Mystery, Thriller",Curtis Hanson,78
Brief Encounter,"Drama, Romance",David Lean,78
Wings of Desire,"Drama, Fantasy, Romance",Wim Wenders,78
All Quiet on the Western Front,"Drama, War",Lewis Milestone,78
Fantastic Mr. Fox,"Adventure, Animation, Comedy, Family",Wes Anderson,78
The Perks of Being a Wallflower,Drama,Stephen Chbosky,78
The Chaser,"Crime, Thriller, Action",Na Hong-jin,78
Kabhi Khushi Kabhie Gham,"Comedy, Drama",Karan Johar,78
Who's Afraid of Virginia Woolf?,Drama,Mike Nichols,78
Donnie Darko,"Fantasy, Drama, Mystery",Richard Kelly,78
Prey,"Thriller, Action, Science Fiction",Dan Trachtenberg,78
Straight Outta Compton,"Drama, Music, History",F. Gary Gray,78
Deep Red,"Horror, Mystery, Thriller",Dario Argento,78
No Manches Frida,Comedy,Nacho G. Velilla,78
The King of Kong: A Fistful of Quarters,Documentary,Seth Gordon,78
The Ox-Bow Incident,"Western, Drama",William A. Wellman,78
I'm No Longer Here,Drama,Fernando Frias,78
The Wind Rises,"Drama, Animation, War, Romance",Hayao Miyazaki,78
The Dark Knight Rises,"Action, Crime, Drama, Thriller",Christopher Nolan,78
Touch of Evil,"Crime, Thriller, Mystery",Orson Welles,78
Mustang,Drama,Deniz Gamze Ergüven,78
Marriage Italian Style,"Drama, Comedy, Romance",Vittorio De Sica,78
The Dinner Game,Comedy,Francis Veber,78
The Fabelmans,Drama,Steven Spielberg,78
Notorious,"Thriller, Romance, Mystery",Alfred Hitchcock,78
They Shall Not Grow Old,"Documentary, History, War",Peter Jackson,78
Red Shoes and the Seven Dwarfs,"Animation, Romance, Family, Comedy, Fantasy",Hong Sung-ho,78
Short Term 12,Drama,Destin Daniel Cretton,78
Rurouni Kenshin: The Final,"Action, Adventure",Keishi Otomo,78
Constantine: City of Demons - The Movie,"Fantasy, Animation, Horror, Action",Doug Murphy,78
The Untouchables,"Crime, Drama, History, Thriller",Brian De Palma,78
Die Hard,"Action, Thriller",John McTiernan,78
Holding the Man,Drama,Neil Armfield,78
Harry Potter and the Deathly Hallows: Part 1,"Adventure, Fantasy",David Yates,78
PlayTime,Comedy,Jacques Tati,78
How to Train Your Dragon: The Hidden World,"Animation, Family, Adventure",Dean DeBlois,78
Manhattan,"Comedy, Drama, Romance",Woody Allen,78
Bad Seeds,Comedy,Kheiron,78
Scent of a Woman,Drama,Martin Brest,78
Amour,"Drama, Romance",Michael Haneke,78
Nothing Left to Do but Cry,Comedy,"Roberto Benigni, Massimo Troisi",78
Big Fish,"Adventure, Fantasy, Drama",Tim Burton,78
Inherit the Wind,"Drama, History",Stanley Kramer,78
Do the Right Thing,Drama,Spike Lee,78
The Color Purple,Drama,Steven Spielberg,78
Annie Hall,"Comedy, Drama, Romance",Woody Allen,78
Ninja Scroll,"Fantasy, Adventure, Animation",Yoshiaki Kawajiri,78
Descendants 3,"Family, TV Movie, Music, Adventure, Fantasy",Kenny Ortega,78
God's Own Country,"Romance, Drama",Francis Lee,78
Citizenfour,Documentary,Laura Poitras,78
Awakenings,Drama,Penny Marshall,78
Teen Titans: Trouble in Tokyo,"Action, Animation, Family, Science Fiction, TV Movie","Matt Youngberg, Michael Chang, Ben Jones",78
Rain Man,Drama,Barry Levinson,78
The Woman King,"Action, Drama, History",Gina Prince-Bythewood,78
Batman: Under the Red Hood,"Science Fiction, Crime, Action, Animation, Mystery",Brandon Vietti,78
The Breakfast Club,"Comedy, Drama",John Hughes,78
Train to Busan,"Horror, Thriller, Adventure, Action",Yeon Sang-ho,78
Drishyam,"Crime, Drama, Thriller, Mystery",Nishikant Kamat,78
Angel's Egg,"Animation, Fantasy, Mystery",Mamoru Oshii,78
The Maltese Falcon,"Mystery, Crime, Thriller",John Huston,78
A Matter of Life and Death,"Comedy, Fantasy, Romance, Drama","Michael Powell, Emeric Pressburger",78
Rich in Love,"Romance, Comedy",Bruno Garotti,78
I Am Not Your Negro,Documentary,Raoul Peck,78
Misery,"Drama, Thriller",Rob Reiner,78
Life of Brian,Comedy,Terry Jones,78
Sword Art Online: The Movie – Ordinal Scale,"Animation, Action, Adventure, Fantasy, Romance, Science Fiction",Tomohiko Ito,78
The Ten Commandments,"Drama, History",Cecil B. DeMille,78
Pan's Labyrinth,"Fantasy, Drama, War",Guillermo del Toro,78
Marriage Story,Drama,Noah Baumbach,78
The Thin Blue Line,"Crime, Documentary",Errol Morris,78
Back to the Future Part II,"Adventure, Comedy, Science Fiction",Robert Zemeckis,78
Maudie,"Drama, Romance",Aisling Walsh,77
Meshes of the Afternoon,"Mystery, Fantasy","Maya Deren, Alexander Hammid",77
The Seven Deadly Sins: Cursed by Light,"Animation, Fantasy",Takayuki Hamana,77
If Anything Happens I Love You,"Drama, Animation","Will McCormack, Michael Govier",77
Two Is a Family,"Drama, Comedy",Hugo Gélin,77
"I, Daniel Blake",Drama,Ken Loach,77
The Turin Horse,Drama,"Béla Tarr, Ágnes Hranitzky",77
Nine Queens,"Crime, Thriller",Fabián Bielinsky,77
Ip Man,"Drama, Action, History",Wilson Yip,77
Platoon,"Drama, War, Action",Oliver Stone,77
The Wrong Trousers,"Animation, Comedy, Family",Nick Park,77
Zootopia,"Animation, Adventure, Family, Comedy","Rich Moore, Byron Howard",77
Cool Hand Luke,"Crime, Drama",Stuart Rosenberg,77
The Last: Naruto the Movie,"Action, Romance, Animation",Tsuneo Kobayashi,77
The Hateful Eight,"Drama, Mystery, Western",Quentin Tarantino,77
Three Steps Above Heaven,"Romance, Drama",Fernando González Molina,77
Underground,"Comedy, Drama, War",Emir Kusturica,77
The Searchers,Western,John Ford,77
Mystic River,"Thriller, Crime, Drama, Mystery",Clint Eastwood,77
"The Gangster, the Cop, the Devil","Crime, Action, Adventure",Lee Won-tae,77
Sound of Metal,Drama,Darius Marder,77
Still Walking,"Drama, Family",Hirokazu Kore-eda,77
The Black Phone,"Horror, Thriller",Scott Derrickson,77
All Quiet on the Western Front,"Drama, War",Edward Berger,77
The Blues Brothers,"Music, Comedy, Action, Crime",John Landis,77
A Walk to Remember,"Drama, Romance",Adam Shankman,77
Ali: Fear Eats the Soul,"Romance, Drama",Rainer Werner Fassbinder,77
Pride,"Drama, Comedy",Matthew Warchus,77
The King's Speech,"Drama, History",Tom Hooper,77
Accattone,Drama,Pier Paolo Pasolini,77
The Greatest Beer Run Ever,"Drama, Comedy, War, History",Peter Farrelly,77
Boys,Drama,Mischa Kamp,77
Big Hero 6,"Adventure, Family, Animation, Action, Comedy","Don Hall, Chris Williams",77
Ponyo,"Animation, Fantasy, Family",Hayao Miyazaki,77
King Richard,"Drama, History",Reinaldo Marcus Green,77
"Batman: The Dark Knight Returns, Part 1","Science Fiction, Action, Animation, Mystery",Jay Oliva,77
Ricky Gervais: Humanity,Comedy,John L. Spencer,77
Slumdog Millionaire,"Drama, Romance","Danny Boyle, Loveleen Tandan",77
